Unnamed: 0,ALG,Optimum,Blocking Pairs,Sum_Profit,Sum_ETA,Sum_Max_Possible_Profit,Min_Individual_Profit,Max_Individual_Profit,Sum_Min_Possible_ETA,Min_Individual_ETA,Max_Individual_ETA,rel_Profit_Performance,rel_ETA_Performance,n,ID,Alg
0,ALG1,Passenger-optimal,75,1397,755,1812,17,95,83,1,59,0.7709713024282561,0.10993377483443709,20,F1P,F1P
1,ALG2,Passenger-optimal,117,852,462,1812,1,96,83,2,57,0.47019867549668876,0.17965367965367965,20,F2P,F2P
2,ALG1,Passenger-optimal,82,1314,472,1886,7,97,85,3,48,0.6967126193001061,0.18008474576271186,20,F1P,F1P
3,ALG2,Passenger-optimal,80,1060,635,1886,1,99,85,2,57,0.5620360551431601,0.13385826771653545,20,F2P,F2P
4,ALG1,Passenger-optimal,58,1622,581,1836,48,97,112,2,47,0.883442265795207,0.1927710843373494,20,F1P,F1P
5,ALG2,Passenger-optimal,82,948,733,1836,3,94,112,2,59,0.5163398692810458,0.15279672578444747,20,F2P,F2P
6,ALG1,Passenger-optimal,83,1267,585,1846,7,97,93,1,59,0.6863488624052004,0.15897435897435896,20,F1P,F1P
7,ALG2,Passenger-optimal,98,1070,592,1846,10,99,93,1,54,0.5796316359696642,0.1570945945945946,20,F2P,F2P
8,ALG1,Passenger-optimal,55,1187,612,1815,7,99,89,3,57,0.6539944903581267,0.1454248366013072,20,F1P,F1P
9,ALG2,Passenger-optimal,63,1186,603,1815,2,96,89,9,59,0.6534435261707989,0.14759535655058043,20,F2P,F2P
10,ALG1,Passenger-optimal,49,1284,418,1875,13,97,110,2,58,0.6848,0.2631578947368421,20,F1P,F1P
11,ALG2,Passenger-optimal,94,983,533,1875,3,93,110,2,56,0.5242666666666667,0.20637898686679174,20,F2P,F2P
12,ALG1,Passenger-optimal,55,1413,548,1817,12,98,92,3,57,0.7776554760594386,0.1678832116788321,20,F1P,F1P
13,ALG2,Passenger-optimal,59,1151,569,1817,13,98,92,7,56,0.6334617501375894,0.1616871704745167,20,F2P,F2P
14,ALG1,Passenger-optimal,46,1490,669,1853,13,94,126,3,59,0.8041014570966001,0.18834080717488788,20,F1P,F1P
15,ALG2,Passenger-optimal,75,1159,540,1853,13,95,126,1,58,0.6254722072315164,0.23333333333333334,20,F2P,F2P
16,ALG1,Passenger-optimal,68,1471,734,1910,28,98,86,5,57,0.7701570680628272,0.11716621253405994,20,F1P,F1P
17,ALG2,Passenger-optimal,105,886,415,1910,5,98,86,1,55,0.4638743455497382,0.20722891566265061,20,F2P,F2P
18,ALG1,Passenger-optimal,51,1306,583,1820,9,99,91,1,57,0.7175824175824176,0.15608919382504288,20,F1P,F1P
19,ALG2,Passenger-optimal,93,968,599,1820,4,91,91,1,53,0.5318681318681319,0.15191986644407346,20,F2P,F2P
20,ALG1,Passenger-optimal,36,1469,519,1861,9,98,81,3,56,0.7893605588393336,0.15606936416184972,20,F1P,F1P
21,ALG2,Passenger-optimal,114,836,595,1861,2,85,81,1,59,0.4492208490059108,0.1361344537815126,20,F2P,F2P
22,ALG1,Passenger-optimal,59,1426,582,1851,9,98,86,1,59,0.7703943814154511,0.14776632302405499,20,F1P,F1P
23,ALG2,Passenger-optimal,96,1035,616,1851,2,98,86,6,56,0.5591572123176661,0.1396103896103896,20,F2P,F2P
24,ALG1,Passenger-optimal,63,1620,529,1803,53,99,107,9,57,0.8985024958402662,0.20226843100189035,20,F1P,F1P
25,ALG2,Passenger-optimal,70,1019,584,1803,9,99,107,6,55,0.5651691625069329,0.1832191780821918,20,F2P,F2P
26,ALG1,Passenger-optimal,71,1221,563,1868,8,99,83,2,57,0.6536402569593148,0.14742451154529307,20,F1P,F1P
27,ALG2,Passenger-optimal,73,1140,626,1868,13,95,83,7,55,0.6102783725910065,0.13258785942492013,20,F2P,F2P
28,ALG1,Passenger-optimal,58,1387,575,1818,18,99,89,1,56,0.7629262926292629,0.15478260869565216,20,F1P,F1P
29,ALG2,Passenger-optimal,78,1021,608,1818,13,96,89,7,58,0.5616061606160616,0.14638157894736842,20,F2P,F2P
30,ALG1,Passenger-optimal,61,1434,587,1848,27,99,97,5,59,0.775974025974026,0.16524701873935263,20,F1P,F1P
31,ALG2,Passenger-optimal,98,967,594,1848,3,99,97,2,58,0.5232683982683982,0.1632996632996633,20,F2P,F2P
32,ALG1,Passenger-optimal,76,1422,412,1856,15,99,103,2,59,0.7661637931034483,0.25,20,F1P,F1P
33,ALG2,Passenger-optimal,75,1126,531,1856,16,99,103,4,58,0.6066810344827587,0.19397363465160075,20,F2P,F2P
34,ALG1,Passenger-optimal,88,1583,544,1835,6,99,91,2,57,0.8626702997275204,0.16727941176470587,20,F1P,F1P
35,ALG2,Passenger-optimal,84,1173,677,1835,9,95,91,7,58,0.6392370572207084,0.1344165435745938,20,F2P,F2P
36,ALG1,Passenger-optimal,54,1572,614,1853,6,98,114,6,54,0.8483540205072855,0.18566775244299674,20,F1P,F1P
37,ALG2,Passenger-optimal,98,1015,599,1853,3,95,114,1,58,0.5477603885590934,0.19031719532554256,20,F2P,F2P
38,ALG1,Passenger-optimal,77,1444,559,1852,43,98,101,3,57,0.7796976241900648,0.1806797853309481,20,F1P,F1P
39,ALG2,Passenger-optimal,118,888,602,1852,4,90,101,1,58,0.4794816414686825,0.16777408637873753,20,F2P,F2P
40,ALG1,Passenger-optimal,42,1243,603,1856,1,99,109,1,59,0.6697198275862069,0.18076285240464346,20,F1P,F1P
41,ALG2,Passenger-optimal,88,1036,647,1856,3,95,109,8,56,0.5581896551724138,0.16846986089644514,20,F2P,F2P
42,ALG1,Passenger-optimal,83,1302,513,1871,1,99,88,1,59,0.6958845537145911,0.17153996101364521,20,F1P,F1P
43,ALG2,Passenger-optimal,107,806,586,1871,3,96,88,2,57,0.4307856761090326,0.15017064846416384,20,F2P,F2P
44,ALG1,Passenger-optimal,84,1404,739,1844,18,99,119,1,59,0.7613882863340564,0.16102841677943167,20,F1P,F1P
45,ALG2,Passenger-optimal,109,980,625,1844,1,95,119,6,59,0.5314533622559653,0.1904,20,F2P,F2P
46,ALG1,Passenger-optimal,78,1450,561,1854,9,98,109,3,58,0.7820927723840345,0.19429590017825313,20,F1P,F1P
47,ALG2,Passenger-optimal,106,999,573,1854,3,96,109,1,47,0.5388349514563107,0.19022687609075042,20,F2P,F2P
48,ALG1,Passenger-optimal,61,1379,513,1812,14,99,98,1,57,0.7610375275938189,0.19103313840155944,20,F1P,F1P
49,ALG2,Passenger-optimal,95,1054,650,1812,8,88,98,1,59,0.5816777041942605,0.15076923076923077,20,F2P,F2P
50,ALG1,Passenger-optimal,69,1246,632,1887,15,99,110,1,58,0.6603073661897191,0.17405063291139242,20,F1P,F1P
51,ALG2,Passenger-optimal,94,1121,573,1887,2,94,110,5,59,0.5940646528881823,0.19197207678883071,20,F2P,F2P
52,ALG1,Passenger-optimal,69,1247,594,1812,25,99,95,7,54,0.6881898454746137,0.15993265993265993,20,F1P,F1P
53,ALG2,Passenger-optimal,70,1108,554,1812,10,94,95,1,56,0.6114790286975718,0.17148014440433212,20,F2P,F2P
54,ALG1,Passenger-optimal,49,1482,615,1852,12,97,88,3,58,0.8002159827213823,0.14308943089430895,20,F1P,F1P
55,ALG2,Passenger-optimal,95,825,812,1852,1,93,88,4,59,0.4454643628509719,0.10837438423645321,20,F2P,F2P
56,ALG1,Passenger-optimal,35,1587,647,1892,34,98,99,3,59,0.8387949260042283,0.15301391035548687,20,F1P,F1P
57,ALG2,Passenger-optimal,81,1141,635,1892,4,99,99,1,59,0.6030655391120507,0.15590551181102363,20,F2P,F2P
58,ALG1,Passenger-optimal,79,1179,645,1844,4,99,125,2,59,0.6393709327548807,0.1937984496124031,20,F1P,F1P
59,ALG2,Passenger-optimal,103,1048,758,1844,5,98,125,3,59,0.5683297180043384,0.16490765171503957,20,F2P,F2P
60,ALG1,Passenger-optimal,79,1590,723,1861,6,98,94,1,57,0.8543793659322945,0.13001383125864455,20,F1P,F1P
61,ALG2,Passenger-optimal,92,872,636,1861,1,94,94,2,56,0.46856528747984955,0.14779874213836477,20,F2P,F2P
62,ALG1,Passenger-optimal,53,1560,599,1846,10,98,126,2,57,0.8450704225352113,0.21035058430717862,20,F1P,F1P
63,ALG2,Passenger-optimal,130,757,656,1846,1,93,126,9,58,0.41007583965330446,0.19207317073170732,20,F2P,F2P
64,ALG1,Passenger-optimal,43,1504,599,1809,27,99,89,7,56,0.8313985627418463,0.14858096828046743,20,F1P,F1P
65,ALG2,Passenger-optimal,73,1367,507,1809,15,96,89,2,52,0.7556661138750691,0.1755424063116371,20,F2P,F2P
66,ALG1,Passenger-optimal,58,1351,476,1814,34,97,97,1,52,0.7447629547960308,0.20378151260504201,20,F1P,F1P
67,ALG2,Passenger-optimal,84,932,724,1814,1,85,97,5,58,0.5137816979051819,0.13397790055248618,20,F2P,F2P
68,ALG1,Passenger-optimal,82,1313,687,1818,6,95,83,3,59,0.7222222222222222,0.12081513828238719,20,F1P,F1P
69,ALG2,Passenger-optimal,89,963,661,1818,9,98,83,3,59,0.5297029702970297,0.12556732223903178,20,F2P,F2P
70,ALG1,Passenger-optimal,55,1537,662,1788,39,99,141,3,57,0.8596196868008948,0.21299093655589124,20,F1P,F1P
71,ALG2,Passenger-optimal,89,981,641,1788,6,96,141,2,58,0.5486577181208053,0.21996879875195008,20,F2P,F2P
72,ALG1,Passenger-optimal,76,1421,644,1829,3,98,91,1,57,0.7769272826681246,0.14130434782608695,20,F1P,F1P
73,ALG2,Passenger-optimal,100,902,613,1829,11,84,91,8,58,0.4931656642974303,0.14845024469820556,20,F2P,F2P
74,ALG1,Passenger-optimal,69,1352,571,1813,12,96,84,2,58,0.7457253171538886,0.14711033274956217,20,F1P,F1P
75,ALG2,Passenger-optimal,117,764,546,1813,2,94,84,4,55,0.4214009928295643,0.15384615384615385,20,F2P,F2P
76,ALG1,Passenger-optimal,75,1463,461,1810,38,97,103,1,57,0.8082872928176795,0.22342733188720174,20,F1P,F1P
77,ALG2,Passenger-optimal,113,1004,732,1810,1,96,103,7,57,0.554696132596685,0.1407103825136612,20,F2P,F2P
78,ALG1,Passenger-optimal,68,1471,591,1818,24,98,126,3,59,0.8091309130913091,0.2131979695431472,20,F1P,F1P
79,ALG2,Passenger-optimal,117,957,634,1818,1,98,126,5,57,0.5264026402640264,0.19873817034700317,20,F2P,F2P
80,ALG1,Passenger-optimal,62,1337,542,1886,5,99,116,2,55,0.7089077412513256,0.2140221402214022,20,F1P,F1P
81,ALG2,Passenger-optimal,117,908,563,1886,2,99,116,2,56,0.4814422057264051,0.20603907637655416,20,F2P,F2P
82,ALG1,Passenger-optimal,66,1504,741,1866,31,98,91,4,58,0.8060021436227224,0.12280701754385964,20,F1P,F1P
