Unnamed: 0,ALG,Optimum,Blocking Pairs,Sum_Profit,Sum_ETA,Sum_Max_Possible_Profit,Min_Profit,Max_Profit,Sum_Min_Possible_ETA,Min_ETA,Max_ETA,rel_Profit_Performance,rel_ETA_Performance,n,ID,Alg
0,ALG1,Passenger-optimal,583,5049,1120.0,5817,31,99,0,0,55,0.8679731820526044,0.0,60,F1P,F1P
1,ALG2,Passenger-optimal,912,2626,996.0,5817,1,96,0,0,51,0.4514354478253395,0.0,60,F2P,F2P
2,ALG1,Passenger-optimal,646,5280,985.0,5797,40,99,0,0,52,0.9108159392789373,0.0,60,F1P,F1P
3,ALG2,Passenger-optimal,860,3018,1233.0,5797,1,96,0,0,49,0.5206141107469381,0.0,60,F2P,F2P
4,ALG1,Passenger-optimal,590,5199,1105.0,5817,6,99,0,0,57,0.8937596699329551,0.0,60,F1P,F1P
5,ALG2,Passenger-optimal,985,2467,1129.0,5817,1,99,0,0,53,0.4241017706721678,0.0,60,F2P,F2P
6,ALG1,Passenger-optimal,580,4765,866.0,5812,17,99,0,0,50,0.8198554714384033,0.0,60,F1P,F1P
7,ALG2,Passenger-optimal,725,3178,838.0,5812,3,99,0,0,46,0.5467997247075017,0.0,60,F2P,F2P
8,ALG1,Passenger-optimal,524,5163,1303.0,5819,35,99,0,0,53,0.8872658532393882,0.0,60,F1P,F1P
9,ALG2,Passenger-optimal,831,2958,888.0,5819,1,97,0,0,56,0.5083347654236123,0.0,60,F2P,F2P
10,ALG1,Passenger-optimal,454,5177,900.0,5811,31,99,0,0,45,0.8908965754603339,0.0,60,F1P,F1P
11,ALG2,Passenger-optimal,621,3123,977.0,5811,1,97,0,0,50,0.537429013939081,0.0,60,F2P,F2P
12,ALG1,Passenger-optimal,518,5180,867.0,5832,19,99,0,0,54,0.8882030178326474,0.0,60,F1P,F1P
13,ALG2,Passenger-optimal,828,3151,1046.0,5832,2,98,0,0,56,0.5402949245541838,0.0,60,F2P,F2P
14,ALG1,Passenger-optimal,605,5275,1039.0,5819,38,99,0,0,55,0.9065131465887609,0.0,60,F1P,F1P
15,ALG2,Passenger-optimal,924,2807,853.0,5819,2,98,0,0,49,0.4823852895686544,0.0,60,F2P,F2P
16,ALG1,Passenger-optimal,535,5309,1037.0,5801,48,99,0,0,58,0.9151870367178073,0.0,60,F1P,F1P
17,ALG2,Passenger-optimal,893,2628,1092.0,5801,1,95,0,0,53,0.45302534045854165,0.0,60,F2P,F2P
18,ALG1,Passenger-optimal,695,4998,1134.0,5817,10,99,0,0,55,0.8592057761732852,0.0,60,F1P,F1P
19,ALG2,Passenger-optimal,776,3351,1114.0,5817,1,99,0,0,54,0.5760701392470345,0.0,60,F2P,F2P
20,ALG1,Passenger-optimal,628,5046,978.0,5805,31,99,0,0,52,0.869250645994832,0.0,60,F1P,F1P
21,ALG2,Passenger-optimal,751,3272,1030.0,5805,4,98,0,0,56,0.5636520241171404,0.0,60,F2P,F2P
22,ALG1,Passenger-optimal,501,4807,1066.0,5799,7,99,0,0,53,0.8289360234523193,0.0,60,F1P,F1P
23,ALG2,Passenger-optimal,858,3015,964.0,5799,7,99,0,0,53,0.519917227108122,0.0,60,F2P,F2P
24,ALG1,Passenger-optimal,816,5055,873.0,5810,19,99,0,0,47,0.8700516351118761,0.0,60,F1P,F1P
25,ALG2,Passenger-optimal,888,2947,1083.0,5810,1,99,0,0,54,0.5072289156626506,0.0,60,F2P,F2P
26,ALG1,Passenger-optimal,470,5191,1289.0,5829,41,99,0,0,49,0.8905472636815921,0.0,60,F1P,F1P
27,ALG2,Passenger-optimal,883,2790,945.0,5829,1,99,0,0,46,0.478641276376737,0.0,60,F2P,F2P
28,ALG1,Passenger-optimal,557,5090,967.0,5797,45,99,0,0,52,0.8780403657063999,0.0,60,F1P,F1P
29,ALG2,Passenger-optimal,745,2994,948.0,5797,1,98,0,0,53,0.5164740382956702,0.0,60,F2P,F2P
30,ALG1,Passenger-optimal,609,4864,1094.0,5805,6,99,0,0,50,0.8378983634797589,0.0,60,F1P,F1P
31,ALG2,Passenger-optimal,895,2592,872.0,5805,2,98,0,0,41,0.44651162790697674,0.0,60,F2P,F2P
32,ALG1,Passenger-optimal,541,4932,884.0,5799,15,99,0,0,50,0.8504914640455251,0.0,60,F1P,F1P
33,ALG2,Passenger-optimal,849,2786,871.0,5799,2,99,0,0,53,0.4804276599413692,0.0,60,F2P,F2P
34,ALG1,Passenger-optimal,539,5014,958.0,5786,9,99,0,0,47,0.8665744901486346,0.0,60,F1P,F1P
35,ALG2,Passenger-optimal,813,3122,1032.0,5786,1,99,0,0,51,0.5395782924300034,0.0,60,F2P,F2P
36,ALG1,Passenger-optimal,556,4779,989.0,5768,9,99,0,0,52,0.8285367545076283,0.0,60,F1P,F1P
37,ALG2,Passenger-optimal,901,2678,911.0,5768,3,96,0,0,47,0.4642857142857143,0.0,60,F2P,F2P
38,ALG1,Passenger-optimal,589,5093,1013.0,5808,33,99,0,0,52,0.8768939393939394,0.0,60,F1P,F1P
39,ALG2,Passenger-optimal,747,3036,1010.0,5808,1,99,0,0,47,0.5227272727272727,0.0,60,F2P,F2P
40,ALG1,Passenger-optimal,753,5106,1095.0,5814,2,99,0,0,54,0.8782249742002064,0.0,60,F1P,F1P
41,ALG2,Passenger-optimal,732,3323,1046.0,5814,5,97,0,0,53,0.5715514275885792,0.0,60,F2P,F2P
