,n=,Run Time All in s,Run Time Matching in s,Run Time Pref in s,Run Time Preference Generation in %,Run Time ALG in %
0,100,0.045974,0.025137,0.020837,45%,55%
1,200,0.292068,0.179249,0.112819,39%,61%
2,400,1.817957,1.138755,0.679202,37%,63%
3,600,5.748918,3.750613,1.998305,35%,65%
4,800,12.976047,8.604895,4.371152,34%,66%
5,1000,24.850511,16.830439,8.020072,32%,68%
6,2000,188.846239,132.465322,56.380917,30%,70%
7,4000,1455.535193,1037.914509,417.620684,29%,71%
8,6000,4924.88207,3538.762456,1386.119614,28%,72%
9,8000,11445.86543,8211.196853,3234.66858,28%,72%
10,10000,23168.23958,16937.50433,6230.735242,27%,73%
