,n=,avg_Profit_Performance,avg_ETA_Performance,avg_ETA,avg_Optimal_ETA,avg_Blocking_Pairs,min_Profit_Performance,min_ETA_Performance,min_Blocking_Pairs,max_Profit_Performance,max_ETA_Performance,max_Blocking_Pairs,Alg
0,20,0.7688047336909293,0.17381577551773997,573.952,98.06,62.995,0.4709141274238227,0.0847029077117572,17,0.9412724306688418,0.3708791208791209,116,AlgD
1,20,0.5441242299046408,0.16525479046081068,600.984,98.06,92.747,0.3286410395235517,0.0855263157894736,44,0.7904710341093666,0.2835820895522388,163,AlgT
2,40,0.7860882769314991,0.09686449959512206,1175.689,112.988,259.971,0.5949067996849566,0.0653153153153153,144,0.9240769630785232,0.1547085201793722,391,AlgD
3,40,0.5248147965675778,0.09449533344546386,1204.934,112.988,380.652,0.3813270390768424,0.0577058409570724,242,0.671622326551904,0.1476510067114094,563,AlgT
4,60,0.8021446394984014,0.07066083117245343,1777.205,124.857,594.96,0.6592362191118023,0.0500472143531633,321,0.9282534246575342,0.0957746478873239,876,AlgD
5,60,0.5148619999060711,0.06989074937354588,1795.997,124.857,869.9,0.399897066392177,0.0512261580381471,574,0.6348140495867769,0.097911227154047,1182,AlgT
6,80,0.8112595013684574,0.05788201958652466,2381.165,137.187,1050.679,0.6786813750641355,0.0447932618683001,737,0.93198411681824,0.0787653006918573,1483,AlgD
7,80,0.515106047428866,0.057210991896242736,2407.557,137.187,1543.812,0.412800411258193,0.0431575064551825,1065,0.6279902776001023,0.0742526518804243,2031,AlgT
8,100,0.8168062089804474,0.05030396901686061,2977.515,149.304,1656.143,0.6649994896396856,0.0410958904109589,1099,0.9446204148360068,0.0637569533590072,2203,AlgD
9,100,0.5117368753531649,0.04989519485153533,3001.806,149.304,2419.941,0.4094528378930175,0.0391330523780854,1791,0.6089887640449438,0.0632518432285603,3134,AlgT
