,n=,avg_Profit_Performance,avg_ETA_Performance,avg_ETA,avg_Optimal_ETA,avg_Blocking_Pairs,min_Profit_Performance,min_ETA_Performance,min_Blocking_Pairs,max_Profit_Performance,max_ETA_Performance,max_Blocking_Pairs,Alg
0,20,0.5421985759510307,0.16560621755562155,600.6170666666667,98.06,63.121864,0.2508196721311475,0.0735468564650059,8,0.8362760834670947,0.4249084249084249,151,S1P
1,20,0.5423375964677144,0.16561369852807667,600.687056,98.06,93.289816,0.2373333333333333,0.0768194070080862,20,0.853355893965031,0.4363636363636363,190,S2P
2,40,0.523035240492103,0.09477180748464548,1201.4527653333334,112.988,259.53678133333335,0.318027654578659,0.0523186682520808,98,0.7270334298499606,0.1821608040201005,477,S1P
3,40,0.523170575111096,0.09478149017154175,1201.348312,112.988,383.229976,0.3182885468301591,0.053639846743295,181,0.7269874476987448,0.1693057247259439,652,S2P
4,60,0.5162751394709912,0.06972659457815099,1800.0130506666667,124.857,590.17432,0.3443811496633868,0.0432382704691812,268,0.6825533379215416,0.1115910727141828,1007,S1P
5,60,0.5162512055743051,0.06972133136890539,1800.159944,124.857,869.945816,0.3505668155273102,0.0437820214252445,471,0.6890034364261168,0.1171303074670571,1345,S2P
6,80,0.5131824674008342,0.05739756790428535,2399.6464213333334,137.187,1053.3688506666667,0.356006160164271,0.0385008517887563,581,0.662148337595908,0.0884507042253521,1730,S1P
7,80,0.513096940533203,0.057391628615737184,2399.8740773333334,137.187,1553.4151333333334,0.3694537060784816,0.0388850653819683,975,0.6650006407791875,0.0869321368480089,2247,S2P
8,100,0.5108717887439436,0.049932933383288414,2999.682946666667,149.304,1650.0789146666666,0.3707750433983457,0.0360928100830707,931,0.6379028967768258,0.0752972258916776,2489,S1P
9,100,0.5108418287564552,0.049934348159528505,2999.6018693333335,149.304,2433.038136,0.3795039297744207,0.03642671292281,1586,0.6596853289742541,0.0717724288840262,3469,S2P
